fitness_psnr,fitness_time,fitness_memory,batch_size,learning_decay_steps,neurons_per_layer,num_hidden_layers,learning_rate
21.965513229370117,149.10969591140747,1156.8349609375,481,762,152,1,0.00643032530473305
10.767752647399902,146.47759342193604,3620.34765625,432,684,29,6,0.002264515950555673
10.309992790222168,146.0082426071167,4292.16162109375,345,961,184,8,0.008077610593144798
20.780614852905273,117.80744934082031,6052.21142578125,215,142,268,11,0.002271275515657105
25.777530670166016,105.08326959609985,6301.11767578125,215,165,222,3,0.002073666658514304
24.08785629272461,99.52309250831604,6301.11767578125,268,141,247,2,0.0020749696344884356
23.741662979125977,96.14799308776855,6301.11767578125,215,142,223,3,0.0018264624758568182
21.171607971191406,87.9168860912323,6301.11767578125,215,165,223,3,0.002073666658514304
19.97422218322754,75.47829174995422,6301.11767578125,129,129,28,11,0.003783462927424995
15.904327392578125,70.32305026054382,6301.11767578125,48,129,28,11,0.00422332937295534
