fitness_psnr,fitness_time,fitness_memory,real_eval,batch_size,learning_rate,learning_decay_steps,num_hidden_layers,neurons_per_layer
21.965513229370117,149.10969591140747,1156.8349609375,True,481,0.00643032530473305,762,1,152
20.780614852905273,117.80744934082031,6052.21142578125,True,215,0.002271275515657105,142,11,268
12.784677529335022,141.9661943895994,3544.8239616568208,False,359,0.0037887181130427114,643,1,63
12.784677529335022,149.08679739442815,1163.8867162485685,False,481,0.00643032530473305,762,1,153
12.784677529335022,145.96780917244996,3418.096894671985,False,359,0.0037887181130427114,680,1,63
25.777530670166016,105.08326959609985,6301.11767578125,True,215,0.002073666658514304,165,3,222
24.08785629272461,99.52309250831604,6301.11767578125,True,268,0.0020749696344884356,141,2,247
23.741662979125977,96.14799308776855,6301.11767578125,True,215,0.0018264624758568182,142,3,223
21.171607971191406,87.9168860912323,6301.11767578125,True,215,0.002073666658514304,165,3,223
15.863401780520775,113.03873972782247,6301.116072895159,False,215,0.0020059655065183565,142,11,222
21.1716079711914,87.05971727929926,6301.117675781249,False,215,0.002073666658514304,165,3,223
15.045298013794287,0.0,5113.876146620969,False,481,0.006432942790746842,778,1,152
15.045298013794287,47.16591617712268,4037.6777809745568,False,470,0.00630770297875834,762,1,153
19.97422218322754,75.47829174995422,6301.11767578125,True,129,0.003783462927424995,129,11,28
15.904327392578125,70.32305026054382,6301.11767578125,True,48,0.00422332937295534,129,11,28
17.385147767290402,104.40882630264448,6301.117675781248,False,215,0.002073666658514304,165,3,222
14.97992730332959,175.8914499917338,0.0,False,359,0.006077411374207937,677,1,152
23.74166297912597,96.14799308776867,6301.117675781249,False,215,0.0018264624758568182,142,3,223
